camis,inspection_date,dba,boro,cuisine,zipcode,score,grade,action,inspection_type,latitude,longitude,n_violations,n_critical,year
50071833,2022-05-11,XUN YU SI KAO NY,Brooklyn,Chinese,11220.0,,,Violations were cited in the following area(s).,Administrative Miscellaneous / Initial Inspection,40.638956220987,-74.009519514582,1,0,2022.0
50072231,2023-12-20,POLONICA,Brooklyn,Polish,11209.0,24.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.62556907795,-74.030184690948,1,1,2023.0
50073933,2025-03-11,LHASALINGFEN,Queens,Asian/Asian Fusion,11373.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.74389194612,-73.884913928379,0,0,2025.0
50084602,2023-04-24,SAN MARCOS CAFE,Bronx,Latin American,,24.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2023.0
50084602,2024-04-05,SAN MARCOS CAFE,Bronx,Latin American,,25.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2024.0
50089893,2022-07-07,BLVD BISTRO,Manhattan,Soul Food,,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
50090040,2025-06-14,VIVA JUAREZ RESTAURANT,Queens,Mexican,11373.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.743375769074,-73.874297676591,0,0,2025.0
50091299,2023-03-06,PHAYUL RESTAURANT,Queens,Asian/Asian Fusion,11372.0,28.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.747554444998,-73.891559049176,1,1,2023.0
50093030,2023-06-27,DOMINO'S,Queens,Pizza,11433.0,0.0,A,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.696400357983,-73.783288583871,0,0,2023.0
50097377,2024-04-04,BLOOM CAFE,Staten Island,American,10305.0,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.613938099334,-74.066013640576,1,1,2024.0
50098716,2022-06-15,EATALY NY LLC (KIOSK),Manhattan,Pizza,,0.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
50099398,2024-12-16,LECHONERA POLLO SABROSO DEL VALLE RESTAURANT,Bronx,Spanish,,37.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
50100420,2023-03-08,SOHO DINER,Manhattan,American,10013.0,,,No violations were recorded at the time of this inspection.,Calorie Posting / Initial Inspection,40.721906385162,-74.004177657535,0,0,2023.0
