camis,inspection_date,dba,boro,cuisine,zipcode,score,grade,action,inspection_type,latitude,longitude,n_violations,n_critical,year
40536414,2024-11-14,LA CABANA,Brooklyn,Latin American,,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
40550765,2025-08-19,ARETSKY'S PATROON,Manhattan,American,,11.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
40557901,2022-09-12,LA ISLA CUCHIFRITOS,Bronx,Latin American,,31.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2022.0
40557901,2023-05-17,LA ISLA CUCHIFRITOS,Bronx,Latin American,,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,,,0,0,2023.0
40659101,2025-09-25,LUCKY HOUSE CHINESE KITCHEN,Brooklyn,Chinese,,0.0,Z,Establishment re-opened by DOHMH.,Cycle Inspection / Reopening Inspection,,,0,0,2025.0
40667358,2021-07-22,COPPOLA'S,Manhattan,Italian,10016.0,37.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.741535477197,-73.981180546098,1,1,2021.0
40730140,2024-04-04,ESTELLE,Brooklyn,American,11229.0,,,No violations were recorded at the time of this inspection.,Smoke-Free Air Act / Initial Inspection,40.599164162747,-73.953244724829,0,0,2024.0
40741728,2023-05-02,WALLSE,Manhattan,German,,18.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2023.0
40825908,2022-02-09,POLANCO RESTAURANT BBQ,Manhattan,Latin American,,20.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,2,1,2022.0
40837042,2025-04-16,MALECON RESTAURANT,Bronx,Latin American,,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,0,2025.0
40868400,2023-03-21,ARIANA KEBAB HOUSE,Manhattan,Afghan,10019.0,6.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.764993098016,-73.987855987299,1,0,2023.0
40942342,2022-03-09,LARRY FLYNT'S HUSTLER CLUB,Manhattan,American,,10.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
40960698,2023-01-23,SCORPION,Queens,Latin American,11372.0,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.746952100486,-73.890253570596,1,1,2023.0
41004767,2025-07-15,SUBWAY,Queens,Sandwiches,,10.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
41010433,2019-11-08,LONDEL'S SUPPER CLUB,Manhattan,American,,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2019.0
41026640,2022-09-23,MEZE,Brooklyn,Greek,11219.0,0.0,A,No violations were recorded at the time of this inspection.,Cycle Inspection / Re-inspection,40.625284831779,-74.002226287013,0,0,2022.0
41032752,2022-08-18,DONS BOGAM,Manhattan,Korean,,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2022.0
41032752,2024-01-31,DONS BOGAM,Manhattan,Korean,,28.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
41056159,2022-03-31,LA MASSERIA,Manhattan,Italian,10036.0,14.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.760469484393,-73.985665699545,1,1,2022.0
41131002,2022-03-31,TANGRA,Queens,Asian/Asian Fusion,,22.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
41194745,2023-05-10,GOLDEN PALACE GOURMET,Queens,Chinese,,34.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,2,2,2023.0
41194745,2024-12-09,GOLDEN PALACE GOURMET,Queens,Chinese,,28.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,2,2,2024.0
41194745,2025-07-09,GOLDEN PALACE GOURMET,Queens,Chinese,,,,Violations were cited in the following area(s).,Administrative Miscellaneous / Initial Inspection,,,1,0,2025.0
41195033,2023-10-16,SARKU JAPAN,Queens,Japanese,11373.0,34.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.733840182011,-73.871577033806,1,1,2023.0
41244032,2022-06-23,ESTRELLITA POBLANA # 1,Bronx,Mexican,,0.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
41248866,2024-09-12,BARAKA BUFFET,Manhattan,African,,32.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,2,1,2024.0
41267879,2022-04-22,PIER I CAFE,Manhattan,American,,10.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2022.0
41276645,2025-07-22,ECUATORIANA RESTAURANT,Manhattan,Spanish,,27.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
41305723,2025-02-19,CANNELLE PATISSERIE,Bronx,French,,10.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2025.0
41344229,2025-03-26,GRACE PIZZA,Queens,Pizza,11385.0,23.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.701936801325,-73.880907607862,1,1,2025.0
41350171,2025-08-04,"BURGER KING, POPEYES",Queens,Hamburgers,11366.0,40.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.721651063827,-73.80394651219,1,1,2025.0
41362527,2025-06-12,CUSTOM BURGER/PHILLY CHEESE STEAK,Manhattan,Hamburgers,,7.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
41380885,2024-10-16,MAMA TINA'S PIZZA,Manhattan,Pizza,,22.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
41380885,2025-09-26,MAMA TINA'S PIZZA,Manhattan,Pizza,,33.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
41396671,2024-09-27,STAND 324,Bronx,American,10451.0,0.0,A,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,0,0,2024.0
41406895,2025-09-22,SUN SAI GAI RESTAURANT,Manhattan,Chinese,10013.0,0.0,Z,Establishment re-opened by DOHMH.,Cycle Inspection / Reopening Inspection,40.717138793492,-73.998795131761,0,0,2025.0
41416592,2019-06-05,SOUTH SHORE LITTLE LEAGUE,Staten Island,Pizza,10307.0,0.0,,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.509990207577,-74.23085280989,0,0,2019.0
41441583,2025-02-20,KAPAMILYA,Queens,Filipino,11377.0,70.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.746339992501,-73.896122784181,1,0,2025.0
41443837,2024-10-19,NEIR'S TAVERN,Queens,American,11421.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.690238354079,-73.863479474021,0,0,2024.0
41482516,2022-04-28,SHANGERILA RESTAURANT,Bronx,Japanese,,21.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2022.0
41506131,2024-10-02,IL PUNTO RISTORANTE,Manhattan,Italian,,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
41510846,2022-12-28,218 RESTAURANT,Manhattan,Chinese,,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
41529148,2024-04-18,VINCENT'S,Manhattan,Italian,10013.0,11.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.717706933005,-73.997215071137,1,0,2024.0
41541993,2022-01-11,ESTRELLITA POBLANA II,Bronx,Mexican,,15.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2022.0
41543970,2021-12-22,PAUSE CAFE,Manhattan,Middle Eastern,,19.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,0,2021.0
41543970,2022-02-28,PAUSE CAFE,Manhattan,Middle Eastern,,42.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,0,2022.0
41543970,2023-05-25,PAUSE CAFE,Manhattan,Middle Eastern,,15.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,0,2023.0
41548686,2022-02-09,ABA TURKISH RESTAURANT,Manhattan,Turkish,10019.0,43.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.767100568243,-73.983783401296,1,1,2022.0
41561516,2024-11-12,OBAO,Manhattan,Thai,10036.0,60.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.760568844279,-73.991080304868,1,1,2024.0
41571795,2025-10-15,KUM FUNG KITCHEN,Staten Island,Chinese,10304.0,26.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.621940942042,-74.072141768277,1,1,2025.0
41576836,2023-01-26,DELI ON MADISON,Manhattan,American,10017.0,19.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.75688053465,-73.976310519699,1,0,2023.0
41622930,2024-01-09,DUN-WELL DOUGHNUTS,Brooklyn,Donuts,11206.0,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.707593433177,-73.940324308256,1,1,2024.0
41623317,2024-11-12,PRONTO PIZZA,Staten Island,Pizza,,9.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2024.0
41627984,2016-02-14,JOUVAY NIGHT CLUB,Queens,Caribbean,11435.0,,,No violations were recorded at the time of this inspection.,Smoke-Free Air Act / Initial Inspection,40.696218749871,-73.804407456832,0,0,2016.0
41645519,2024-11-04,NICK'S PIZZA,Bronx,Pizza,10469.0,27.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.870368405424,-73.846078096595,1,1,2024.0
41645610,2024-08-30,SUBWAY,Brooklyn,Sandwiches,11226.0,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.639812338763,-73.948384250421,1,0,2024.0
41656924,2023-11-21,TENZAN,Manhattan,Japanese,,12.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,,,1,1,2023.0
41668282,2025-06-04,ROSEMARY'S,Manhattan,Italian,,24.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
41685823,2023-02-17,ATOMIC WINGS,Manhattan,Chicken,10007.0,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.715494565459,-74.005205334775,1,0,2023.0
41689789,2023-05-18,EGG ROLL CHINESE RESTAURANT,Brooklyn,Chinese,11207.0,11.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.682497205043,-73.909768521968,1,0,2023.0
41711578,2021-08-26,MR. SIMI #8 KITCHEN,Brooklyn,Chinese,11214.0,31.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.605557733268,-74.008960128029,1,0,2021.0
41720069,2023-01-10,D'ANGELO'S PIZZA,Queens,Pizza,11375.0,23.0,B,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.715009428517,-73.832074065603,1,0,2023.0
50001285,2018-06-24,Y & B ENTERTAINMENT MANOR,Queens,Korean,,,,Violations were cited in the following area(s).,Smoke-Free Air Act / Initial Inspection,,,1,0,2018.0
50001285,2019-06-28,Y & B ENTERTAINMENT MANOR,Queens,Korean,,34.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2019.0
50001689,2024-04-04,DREDSURFER GRILL,Queens,Caribbean,11691.0,45.0,,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,Cycle Inspection / Re-inspection,40.595119257856,-73.750390511281,1,0,2024.0
50001901,2025-05-27,DUNKIN,Manhattan,Donuts,10128.0,0.0,P,Establishment re-opened by DOHMH.,Cycle Inspection / Reopening Inspection,40.784876636139,-73.949546070015,0,0,2025.0
50002807,2023-06-22,DUNKIN,Bronx,Donuts,10468.0,0.0,A,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.862691381938,-73.900940330303,0,0,2023.0
50003350,2023-01-05,3-J RESTAURANT AND PIZZA,Bronx,Latin American,10455.0,,,Violations were cited in the following area(s).,Administrative Miscellaneous / Re-inspection,40.812394239758,-73.904411302372,1,0,2023.0
50005277,2025-06-25,PIZZA VINO,Queens,Pizza,11430.0,11.0,A,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,1,1,2025.0
50006959,2024-10-19,BAM FISHER,Brooklyn,American,11217.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.685903942317,-73.978030508283,0,0,2024.0
50011083,2022-02-10,SUBWAY,Manhattan,Sandwiches,10004.0,16.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.703087793856,-74.011029064387,1,0,2022.0
